UVINDEX: version 7-apr-2012

Summary listing for data-set 13co.carmacell1_uv6to1000_nrobm16.all

       Time        Source        Antennas Spectral Wideband  Freq  Record
                    Name                  Channels Channels Config   No.

80JAN01:00:00:00.0 BS                2         2        0      1 6990953
80JAN01:00:00:00.0 BS                2         2        0      1 7056289
80JAN01:00:00:00.0 BS                2         2        0      1 7121625
80JAN01:00:00:00.0 BS                2         2        0      1 7186961
80JAN01:00:00:00.0 BS                2         2        0      1 7252297
80JAN01:00:00:00.0 BS                2         2        0      1 7317633
80JAN01:00:00:00.0 BS                2         2        0      1 7382969
80JAN01:00:00:00.0 BS                2         2        0      1 7448305
80JAN01:00:00:00.0 BS                2         2        0      1 7513641
80JAN01:00:00:00.0 BS                2         2        0      1 7578977
80JAN01:00:00:00.0 BS                2         2        0      1 7644313
80JAN01:00:00:00.0 BS                2         2        0      1 7709649
80JAN01:00:00:00.0 BS                2         2        0      1 7774985
80JAN01:00:00:00.0 BS                2         2        0      1 7840321
80JAN01:00:00:00.0 BS                2         2        0      1 7905657
80JAN01:00:00:00.0 BS                2         2        0      1 7970993
80JAN01:00:00:00.0 BS                2         2        0      1 8036329
80JAN01:00:00:00.0 BS                2         2        0      1 8101665
80JAN01:00:00:00.0 BS                2         2        0      1 8167001
80JAN01:00:01:22.9 Total number of records                       8232336

------------------------------------------------

Total observing time is  0.00 hours

The input data-set contains the following frequency configurations:

Frequency Configuration 1
  Spectral Channels  Freq(chan=1)  Increment
                2     110.19768    -0.000074 GHz

------------------------------------------------

The input data-set contains the following polarizations:
There were 8232336 records of polarization I

------------------------------------------------

The input data-set contains the following pointings:
 Source                   RA            DEC             dra(arcsec) ddec(arcsec)
BS                     05:35:29.81   -05:23:43.04          37.00         0.00
                                                           74.00         0.00
                                                          111.00         0.00
                                                          148.00         0.00
                                                          129.50        32.04
                                                           92.50        32.04
                                                           55.50        32.04
                                                           18.50        32.04
                                                          -18.50        32.04
                                                         -184.99       -64.09
                                                          -55.50        32.04
                                                          -92.50        32.04
                                                         -129.50        32.04
                                                         -166.49        32.04
                                                         -203.49        32.04
                                                         -221.99        64.09
                                                         -184.99        64.09
                                                         -148.00        64.09
                                                         -111.00        64.09
                                                          -74.00        64.09
                                                         -148.00       -64.09
                                                          -37.00        64.09
                                                            0.00        64.09
                                                           37.00        64.09
                                                           74.00        64.09
                                                          148.00        64.09
                                                          129.50        96.13
                                                           92.50        96.13
                                                           55.50        96.13
                                                           18.50        96.13
                                                          -18.50        96.13
                                                         -111.00       -64.09
                                                          -55.50        96.13
                                                          -92.50        96.13
                                                         -221.99      -128.17
                                                         -184.99      -128.17
                                                         -148.00      -128.17
                                                         -111.00      -128.17
                                                          -74.00      -128.17
                                                          -37.00      -128.17
                                                            0.00      -128.17
                                                           37.00      -128.17
                                                          -74.00       -64.09
                                                           74.00      -128.17
                                                          111.00      -128.17
                                                          148.00      -128.17
                                                          129.50       -96.13
                                                           92.50       -96.13
                                                           55.50       -96.13
                                                           18.50       -96.13
                                                            0.00       -64.09
                                                           37.00       -64.09
                                                           74.00       -64.09
                                                          111.00       -64.09
                                                          148.00       -64.09
                                                          129.50       -32.04
                                                           92.50       -32.04
                                                          -18.50       -96.13
                                                           55.50       -32.04
                                                           18.50       -32.04
                                                          -18.50       -32.04
                                                          -55.50       -32.04
                                                          -92.50       -32.04
                                                          111.00        64.09
                                                         -129.50        96.13
                                                         -166.49        96.13
                                                         -203.49        96.13
                                                         -221.99       128.17
                                                          -55.50       -96.13
                                                         -184.99       128.17
                                                         -148.00       128.17
                                                         -111.00       128.17
                                                          -74.00       128.17
                                                          -37.00       128.17
                                                            0.00       128.17
                                                           37.00       128.17
                                                           74.00       128.17
                                                          111.00       128.17
                                                          148.00       128.17
                                                          -92.50       -96.13
                                                          -37.00       -64.09
                                                          129.50       160.21
                                                           92.50       160.21
                                                           55.50       160.21
                                                           18.50       160.21
                                                          -18.50       160.21
                                                          -55.50       160.21
                                                          -92.50       160.21
                                                         -129.50       160.21
                                                         -166.49       160.21
                                                         -203.49       160.21
                                                         -129.50       -96.13
                                                         -221.99       192.26
                                                         -184.99       192.26
                                                         -148.00       192.26
                                                         -111.00       192.26
                                                          -74.00       192.26
                                                          -37.00       192.26
                                                            0.00       192.26
                                                           37.00       192.26
                                                           74.00       192.26
                                                          111.00       192.26
                                                         -166.49       -96.13
                                                          148.00       192.26
                                                          129.50       224.30
                                                           92.50       224.30
                                                           55.50       224.30
                                                           18.50       224.30
                                                          -18.50       224.30
                                                          -55.50       224.30
                                                          -92.50       224.30
                                                         -129.50       224.30
                                                         -166.49       224.30
                                                         -203.49       -96.13
                                                         -203.49       224.30
                                                         -129.50       -32.04
                                                         -166.49       -32.04
                                                         -203.49       -32.04
                                                         -221.99         0.00
                                                         -184.99         0.00
                                                         -148.00         0.00
                                                         -111.00         0.00
                                                          -74.00         0.00
                                                          -37.00         0.00
                                                         -221.99       -64.09
                                                            0.00         0.00

------------------------------------------------
